epoch,acc,loss,val_acc,val_loss,f_loss,fv_loss
1,0.318518519,10.75308148,0.333333333,10.74539697,3.139534879,3.000000003
2,0.505925926,3.025083168,0.333333333,5.352568888,1.976573938,3.000000003
3,0.551851852,1.204590856,0.333333333,4.65380233,1.812080536,3.000000003
4,0.566037037,0.852035234,0.333333333,4.504712649,1.766668848,3.000000003
5,0.606666668,0.592252697,0.333333333,4.137958729,1.648351645,3.000000003
6,0.613703704,0.56109379,0.333333333,2.581341092,1.629450814,3.000000003
7,0.607407408,0.450348511,0.333333333,2.36062213,1.646341462,3.000000003
8,0.557407408,0.411238869,0.333333333,1.596898055,1.794019932,3.000000003
9,0.591111111,0.314142088,0.333333333,1.242640154,1.691729324,3.000000003
10,0.613333333,0.250759135,0.333333333,1.308129695,1.630434783,3.000000003
11,0.65925926,0.260073312,0.666666667,0.892612438,1.516853931,1.499999999
12,0.705925926,0.259072249,0.666666667,0.747179214,1.416579223,1.499999999
13,0.713333333,0.252413696,0.666666667,0.730908535,1.40186916,1.499999999
14,0.723333333,0.22310774,0.666666667,1.080827469,1.38248848,1.499999999
15,0.732222222,0.241063131,0.666666667,0.676595128,1.365705615,1.499999999
16,0.755962963,0.22772423,0.733333334,0.392899739,1.322816128,1.363636362
17,0.765555557,0.143605496,0.666666667,0.477828731,1.306240926,1.499999999
18,0.770740742,0.193187195,0.666666667,0.757650836,1.297453145,1.499999999
19,0.790740742,0.220235106,0.666666667,0.793432877,1.264637,1.499999999
20,0.808148148,0.186722174,0.666666667,1.115996212,1.237396884,1.499999999
21,0.814444445,0.20480528,0.666666667,1.100015748,1.227830831,1.499999999
22,0.841851853,0.216037836,0.666666667,1.046578741,1.187857455,1.499999999
23,0.865555556,0.218001361,0.666666667,1.237779157,1.155327342,1.499999999
24,0.85555556,0.180814691,0.666666667,1.233573336,1.168831163,1.499999999
25,0.891851853,0.220749341,0.666666667,1.105556692,1.121262457,1.499999999
26,0.884444445,0.220498179,0.666666667,0.903416503,1.130653266,1.499999999
27,0.895555556,0.177943858,0.666666667,0.771607941,1.11662531,1.499999999
28,0.912962963,0.166763466,0.666666667,0.978258995,1.095334686,1.499999999
29,0.931851852,0.179536832,0.666666667,1.153931221,1.073131955,1.499999999
30,0.952962963,0.181315899,0.7,0.589798481,1.049358725,1.428571429
31,0.966666667,0.141682063,0.666666667,0.836444294,1.034482758,1.499999999
32,0.966666667,0.157472606,0.666666667,1.101011976,1.034482758,1.499999999
33,0.966666667,0.178983818,0.666666667,0.781709192,1.034482758,1.499999999
34,0.962962963,0.184757875,0.666666667,0.893823564,1.038461538,1.499999999
35,0.962962963,0.181835148,0.666666667,0.794406476,1.038461538,1.499999999
36,0.966666667,0.136845115,0.733333334,0.697029046,1.034482758,1.363636362
37,0.966666667,0.125136355,0.733333334,0.516011608,1.034482758,1.363636362
38,0.962962964,0.160597964,0.733333334,0.429734034,1.038461537,1.363636362
39,0.970037037,0.155074709,0.766666668,0.401480685,1.030888473,1.304347824
40,0.977777778,0.095172371,0.733333334,0.771644666,1.022727272,1.363636362
41,0.966666667,0.181348699,0.766666668,0.393152992,1.034482758,1.304347824
42,0.966666667,0.175412004,0.733333334,0.447724992,1.034482758,1.363636362
43,0.974074075,0.122737016,0.833333338,0.256481997,1.026615969,1.199999993
44,0.970037037,0.145018458,0.766666668,0.435940391,1.030888473,1.304347824
45,0.966666667,0.111684369,0.800000004,0.279920958,1.034482758,1.249999994
46,0.970037037,0.127035098,0.830000006,0.182968832,1.030888473,1.204819268
47,0.970037037,0.109635519,0.85,0.997539514,1.030888473,1.176470588
48,0.959259259,0.236222781,0.843333337,0.110760891,1.042471043,1.185770746
49,0.966666667,0.117856678,0.733333334,0.460276862,1.034482758,1.363636362
50,0.962962963,0.10434896,0.76,0.02135742,1.038461538,1.315789474
51,0.977777778,0.091494779,0.783333337,0.110932464,1.022727272,1.276595739
52,0.974074075,0.12728042,0.820000004,0.317538909,1.026615969,1.219512189
53,0.962962963,0.12472085,0.820000004,0.187316436,1.038461538,1.219512189
54,0.977777778,0.052634783,0.820000004,0.117683255,1.022727272,1.219512189
55,0.977777778,0.088145919,0.820000004,0.106530011,1.022727272,1.219512189
56,0.981481482,0.078713448,0.820000004,0.117002541,1.018867924,1.219512189
57,0.974074074,0.109545373,0.820000004,0.148983066,1.02661597,1.219512189
58,0.981481482,0.053814504,0.820000004,0.118382804,1.018867924,1.219512189
59,0.974074074,0.052577803,0.850000004,0.072618941,1.02661597,1.176470583
60,0.974074075,0.097102886,0.840000004,0.187576509,1.026615969,1.190476185
61,0.981481482,0.047886264,0.850000004,0.072245938,1.018867924,1.176470583
62,0.977777778,0.058579186,0.850000004,0.025317768,1.022727272,1.176470583
63,0.981481482,0.031742759,0.876666668,0.248909279,1.018867924,1.140684409
64,0.981481482,0.093660404,0.860000004,0.074669972,1.018867924,1.162790692
65,0.970037037,0.098420821,0.860000004,0.001167196,1.030888473,1.162790692
66,0.974074075,0.090756451,0.85,0.011226948,1.026615969,1.176470588
67,0.98888889,0.046505242,0.85,0.020980893,1.011235954,1.176470588
68,0.981481482,0.050351867,0.87,0.003982911,1.018867924,1.149425287
69,0.977777778,0.082536011,0.86,0.002405753,1.022727272,1.162790698
70,0.996296297,0.014627472,0.85,0.01404943,1.003717471,1.176470588
71,0.981481482,0.057829382,0.87,0.012110839,1.018867924,1.149425287
72,0.996296297,0.010237407,0.87,0.065954151,1.003717471,1.149425287
73,0.981481482,0.071056722,0.86,0.001457488,1.018867924,1.162790698
74,0.981481482,0.044419695,0.87,0.004424895,1.018867924,1.149425287
75,0.981481482,0.053226983,0.87,0.001020357,1.018867924,1.149425287
76,0.98888889,0.050682724,0.86,0.003637113,1.011235954,1.162790698
77,0.981481482,0.067091424,0.88,4.04E-05,1.018867924,1.136363636
78,0.996296297,0.022585302,0.88,0.013200204,1.003717471,1.136363636
79,0.985185186,0.045029544,0.87,0.000872324,1.015037593,1.149425287
80,0.992592593,0.037333773,0.88,0.001452264,1.007462686,1.136363636
81,0.98888889,0.019941977,0.89,0.000370134,1.011235954,1.123595506
82,0.992592593,0.010800062,0.88,0.003933573,1.007462686,1.136363636
83,0.992592593,0.032670965,0.89,0.000345115,1.007462686,1.123595506
84,0.974074075,0.068372566,0.89,1.72E-05,1.026615969,1.123595506
85,0.996296297,0.009828944,0.88,0.000289928,1.003717471,1.136363636
86,0.992592593,0.015729077,0.89,0.000288097,1.007462686,1.123595506
87,0.992592593,0.027226173,0.88,3.07E-05,1.007462686,1.136363636
88,0.992592593,0.039636694,0.89,0.000752379,1.007462686,1.123595506
89,0.996296297,0.033889742,0.89,9.23E-05,1.003717471,1.123595506
90,0.985185186,0.025734964,0.89,1.03E-05,1.015037593,1.123595506
91,0.992592593,0.024829699,0.8973,0.000533029,1.007462686,1.114454475
92,0.992592593,0.027888064,0.8973,0.00012902,1.007462686,1.114454475
93,0.988888889,0.022975474,0.8973,2.31E-05,1.011235955,1.114454475
94,1,0.004579281,0.8973,1.45E-05,1,1.114454475
95,0.981481482,0.037614073,0.8973,2.14E-05,1.018867924,1.114454475
96,0.992592593,0.019194089,0.8973,3.21E-05,1.007462686,1.114454475
97,1,0.005004072,0.8973,1.57E-06,1,1.114454475
98,0.981481482,0.029280103,0.8973,7.24E-06,1.018867924,1.114454475
99,1,0.00098024,0.8973,2.14E-05,1,1.114454475
100,0.981481481,0.104919362,0.8973,1.45E-07,1.018867925,1.114454475
