epoch,acc,loss,val_acc,val_loss,f_loss,fv_loss
1,0.472000007,0.974277633,0.3466,0.334796565,2.118644036,2.885170225
2,0.657999994,0.389003029,0.534,0.018799587,1.519756853,1.872659176
3,0.665399999,0.147491519,0.578,0.01985932,1.502855428,1.730103806
4,0.692999997,0.06749835,0.6345,0.02085932,1.443001449,1.576044129
5,0.703999996,0.044637035,0.6215,0.02385932,1.420454554,1.609010459
6,0.714999997,0.033408793,0.6667,0.001385932,1.398601404,1.499925004
7,0.718999998,0.037430334,0.6546,0.001385932,1.390820588,1.527650474
8,0.721999998,0.022017558,0.68123,0.001385932,1.385041555,1.467933004
9,0.728,0.011549339,0.68,0.001385932,1.373626374,1.470588235
10,0.7216,0.008684711,0.7,0.001385932,1.385809313,1.428571429
11,0.7216,0.011139125,0.6523,0.001385932,1.385809313,1.533036946
12,0.7216,0.015383642,0.722,0.001385932,1.385809313,1.385041551
13,0.75,0.001086577,0.711,1.19E-07,1.333333333,1.406469761
14,0.759999995,0.004814988,0.733,1.19E-07,1.315789482,1.36425648
15,0.758,0.00516767,0.7566,1.23E-07,1.319261214,1.321702353
16,0.768,0.002966789,0.7444,1.19E-07,1.302083333,1.343363783
17,0.789999998,0.00252095,0.7222,1.19E-07,1.265822788,1.384657989
18,0.8,0.000686137,0.7777,1.49E-07,1.25,1.28584287
19,0.808,0.002788186,0.798,1.19E-07,1.237623762,1.253132832
20,0.809,0.004885357,0.7622,1.41E-07,1.236093943,1.311991603
21,0.81,0.000811645,0.7988,1.19E-07,1.234567901,1.251877817
22,0.82,0.000218733,0.8222,1.19E-07,1.219512195,1.216249088
23,0.85,0.000354117,0.8324,1.19E-07,1.176470588,1.201345507
24,0.86,0.007602771,0.8467,1.19E-07,1.162790698,1.181055864
25,0.86,0.004964249,0.8467,1.19E-07,1.162790698,1.181055864
26,0.86,0.000125287,0.8467,1.19E-07,1.162790698,1.181055864
27,0.881999998,0.001162799,0.8555,1.19E-07,1.133786851,1.168907072
28,0.891,0.003674193,0.8021,1.19E-07,1.122334456,1.246727341
29,0.9,0.000332189,0.855,1.19E-07,1.111111111,1.169590643
30,0.939,0.001694229,0.855,1.19E-07,1.064962726,1.169590643
31,0.958,0.008265933,0.833,1.19E-07,1.043841336,1.200480192
32,0.959999998,0.01559132,0.8666,1.19E-07,1.041666669,1.153934918
